OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,ZipCode,CouncilDistrictCode,Neighborhood,Latitude,Longitude,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),DefaultData,ComplianceStatus,Outlier,BuildingAge,ParkingRatio,BuildingAreaRatio,EnergyUsePerArea,ElectricityIntensity,LargestUseRatio,GHGPerArea,LatitudeBand
24854,2016,Multifamily LR (1-4),Low-Rise Multifamily,98118.0,2,SOUTHEAST,47.5488,-122.28606,1.0,3,191330,0,191330,Multifamily Housing,Multifamily Housing,,,,,54.0,31.70000076,34.09999847,97.19999695,104.5,6069855.0,6525276.0,0.0,False,Compliant,,52,0.0,1.0,31.724533528458682,31.724533528458682,1.0,0.0002755971358386034,47.5
24858,2016,Multifamily LR (1-4),Low-Rise Multifamily,98118.0,2,SOUTHEAST,47.5472,-122.27633,1.0,3,27320,0,27320,"Multifamily Housing, Parking",Multifamily Housing,Parking,0.0,,,63.0,32.90000153,35.09999847,103.4000015,110.3000031,899817.125,959689.6875,0.0,False,Compliant,,47,0.0,1.0,32.936205161054176,32.936205161054176,1.0,0.000229502196193265,47.5
24861,2016,Multifamily LR (1-4),Low-Rise Multifamily,98133.0,5,NORTHWEST,47.72708,-122.35455,1.0,4,29063,0,29063,Multifamily Housing,Multifamily Housing,,,,,66.0,29.60000038,31.60000038,93.0,99.09999847,860505.625,917507.3125,0.0,False,Compliant,,31,0.0,1.0,29.608286309052747,29.608286309052747,1.0,0.00020644806110862608,47.7
24862,2016,NonResidential,K-12 School,98126.0,1,DELRIDGE,47.53887,-122.37564,1.0,3,29874,0,29874,K-12 School,K-12 School,,,,,95.0,40.59999847,47.09999847,62.0,69.69999695,1274049.75,1478408.125,0.0,False,Compliant,,54,0.0,1.0,42.64744426591685,42.64744426591685,1.0502443596438376,0.001816629845350472,47.5
24865,2016,Multifamily LR (1-4),Low-Rise Multifamily,98199.0,7,MAGNOLIA / QUEEN ANNE,47.6418,-122.39786,1.0,2,22252,0,22252,Multifamily Housing,Multifamily Housing,,,,,96.0,18.39999962,19.89999962,57.90000153,62.59999847,410433.0938,443378.0938,0.0,False,Compliant,,68,0.0,1.0,18.444773224878663,18.444773224878663,1.0,0.0001285277727844688,47.6
24868,2016,NonResidential,Worship Facility,98199.0,7,MAGNOLIA / QUEEN ANNE,47.64,-122.39743,1.0,1,20140,0,20140,"Parking, Worship Facility",Worship Facility,Parking,0.0,,,35.0,45.09999847,52.90000153,59.0,67.80000305,992794.6875,1164370.875,0.0,False,Compliant,,51,0.0,1.0,49.29467167328699,49.29467167328699,1.0923535253227408,0.0023376365441906653,47.6
24876,2016,NonResidential,Self-Storage Facility,98133.0,6,NORTHWEST,47.70281,-122.35623,1.0,2,71874,31389,40485,Self-Storage Facility,Self-Storage Facility,,,,,,17.29999924,19.39999962,31.39999962,33.59999847,1242811.75,1393424.5,0.0,False,Compliant,,26,0.4367225978796227,0.5632774021203774,17.291534490914657,17.291534490914657,1.0,0.0006256782703063695,47.7
24880,2016,Multifamily MR (5-9),Mid-Rise Multifamily,98119.0,7,MAGNOLIA / QUEEN ANNE,47.62424,-122.36169,1.0,5,52020,0,52020,Multifamily Housing,Multifamily Housing,,,,,88.0,26.20000076,27.60000038,69.80000305,72.69999695,1363296.875,1435382.25,0.0,False,Compliant,,13,0.0,1.0,26.207167916186084,26.207167916186084,0.9998654363706266,0.0004580930411380238,47.6
24883,2016,Multifamily MR (5-9),Mid-Rise Multifamily,98102.0,3,EAST,47.62402,-122.32757,1.0,7,39750,9620,30130,"Multifamily Housing, Parking",Multifamily Housing,Parking,9503.0,,,24.0,43.79999924,45.70000076,123.4000015,128.1999969,1423463.0,1484379.625,0.0,False,Compliant,,25,0.2420125786163522,0.7579874213836478,35.81038993710692,35.81038993710692,0.8178616352201258,0.0005036477987421384,47.6
24886,2016,NonResidential,Small- and Mid-Sized Office,98144.0,3,CENTRAL,47.60104,-122.30155,1.0,2,39953,0,39953,Office,Office,,,,,93.0,50.09999847,53.5,131.0,135.8999939,1508561.875,1608929.125,0.0,False,Compliant,,45,0.0,1.0,37.758413010287086,37.758413010287086,0.75338522764248,0.0007020749380522113,47.6
24887,2016,Multifamily LR (1-4),Low-Rise Multifamily,98144.0,3,CENTRAL,47.60058,-122.3017,1.0,4,157724,0,157724,"Multifamily Housing, Office, Parking, Retail Store",Multifamily Housing,Parking,21203.0,Office,4060.0,,37.40000153,39.29999924,92.69999695,97.5,2025301.0,2128960.0,0.0,False,Compliant,,6,0.0,1.0,12.840791509218635,12.840791509218635,0.30247774593593874,0.000276939463873602,47.6
